INDEX;OPSNAME;REGION;CITY
111948;МОСКВА МСП-3 МПКО-СЕВЕР УЧ-1.3;МОСКВА;
111949;МОСКВА МСП-3 МПКО-СЕВЕР УЧ-1.4;МОСКВА;
111950;МОСКВА МСП-3 ЦЕХ-1 МПКО-СЕВЕР;МОСКВА;
111951;МОСКВА МСП-3 МПКО-СЕВЕР УЧ-2.3;МОСКВА;
111953;МОСКВА МСП-3 МПКО-ЦЕНТР УЧ-2;МОСКВА;
111954;МОСКВА МСП-3 МПКО-ЦЕНТР УЧ-3;МОСКВА;
111955;МОСКВА МСП-3 ЦЕХ-3 МПКО-ВНУКОВО УЧ-1.9;МОСКВА;
111956;МОСКВА МСП-3 УЧ-56;МОСКВА;
111957;МОСКВА МСП-3 МПКО-ЦЕНТР УОМПО;МОСКВА;
111958;МОСКВА МСП-3 МПКО-СЕВЕР УЧ. ОБР. МЕСТН. КОРР.;МОСКВА;
111961;МОСКВА МСП-3 МПКО-ЦЕНТР VRT1-СМ;МОСКВА;
111962;МОСКВА МСП-3 УЧ-62;МОСКВА;
111963;МОСКВА МСП-3 УЧ-63;МОСКВА;
111964;МОСКВА МСП-3 УЧ-64;МОСКВА;
111968;МОСКВА МСП-3 МПКО-ВОСТОК УЧ. ОБР. МЕСТН. КОРР.;МОСКВА;
111969;МОСКВА МСП-3 УЧ-69;МОСКВА;
111971;МОСКВА МСП-3 ЦЕХ-3 МПКО-ВНУКОВО УЧ-1.4;МОСКВА;
111972;МОСКВА МСП-3 МПКО-ВОСТОК УЧ-2.1;МОСКВА;
111973;МОСКВА МСП-3 МПКО-ВОСТОК УЧ-5;МОСКВА;
111974;МОСКВА МСП-3 ЦЕХ-4 МПКО-ВОСТОК;МОСКВА;
111981;МОСКВА МСП-3 МПКО-ВОСТОК УЧ-1.1;МОСКВА;
111989;МОСКВА МСП-3 МПКО-ВОСТОК УЧ-1.9;МОСКВА;
115035;МОСКВА 35;МОСКВА;
115054;МОСКВА 54;МОСКВА;
115068;МОСКВА 68;МОСКВА;
115088;МОСКВА 88;МОСКВА;
115093;МОСКВА 93;МОСКВА;
115095;МОСКВА 95;МОСКВА;
115114;МОСКВА 114;МОСКВА;
115127;МОСКВА ЦМП;МОСКВА;
115138;МОСКВА 138;МОСКВА;
115142;МОСКВА 142;МОСКВА;
115162;МОСКВА 162;МОСКВА;
115184;МОСКВА 184;МОСКВА;
115191;МОСКВА 191;МОСКВА;
115193;МОСКВА 193;МОСКВА;
